Gene,Screen 1 P value,Screen 2 P value,Fisher P value,Fisher P adjusted value,Screen 1 log2 Fold Enrichment,Screen 2 log2 Fold Enrichment,Combined log2 Fold Enrichment,Fold Enrichment,Screen 1 'Good' sgRNAs,Screen 2 'Good' sgRNAs
DDX6,1.0014e-5,2.7474e-5,6.331662494847708e-9,6.910783521972694e-6,1.8187,2.4282,2.12345,4.357346976646751,4,3
RPL27,0.0022501,0.001339,4.131451042720703e-5,0.00312451363015949,1.2947,1.9455,1.6200999999999999,3.0739634260999145,3,2
TRA2B,2.5677e-7,0.0018367,1.059936123001947e-8,6.910783521972694e-6,1.7167,1.2982,1.50745,2.8430707479863493,4,3
RPL31,0.11584,1.2196e-4,1.7189863253635354e-4,0.0077295109250829315,0.61122,2.2839,1.44756,2.727463708034441,3,3
RPS13,0.018016,1.1478e-4,2.9134287599376015e-5,0.0029223931561220247,1.0264,1.6996,1.363,2.5721949668612067,4,3
KRT18,0.015746,1.8462e-4,3.996690472523216e-5,0.00312451363015949,0.96125,1.6854,1.323325,2.502421824390485,3,4
COPA,0.0050678,0.0036392,2.1948406907318417e-4,0.009540240869047738,1.0618,1.3749,1.21835,2.326804500921459,4,3
MRPS2,0.004902,5.4563e-4,3.699529770428062e-5,0.00312451363015949,0.90696,1.4965,1.20173,2.3001532733330428,3,3
MRPL43,0.017048,4.2701e-4,9.340121850922529e-5,0.005220465090360222,0.79374,1.6018,1.19777,2.293848325165777,4,4
SMC4,0.0019938,8.1164e-4,2.3196233990382852e-5,0.0025206574269549366,0.91281,1.4197,1.166255,2.244283608813925,4,3
CSNK2A1,2.5677e-7,0.021145,1.0875871656999187e-7,4.727378880242314e-5,1.3419,0.98495,1.1634250000000002,2.239885522519597,4,3
HSPE1,7.9059e-4,0.0014073,1.636498613323985e-5,0.0024377084032224487,1.0728,1.2083,1.14055,2.2046505525879447,3,2
CSNK1A1,8.9099e-5,0.031039,3.815972987223424e-5,0.00312451363015949,1.3435,0.89975,1.1216249999999999,2.175919222725771,4,3
COA5,0.024588,0.0010525,2.992136623560515e-4,0.010545259884115978,0.79493,1.3962,1.0955650000000001,2.1369675489037263,4,3
RPL27A,1.1041e-5,0.10381,1.682467456211813e-5,0.0024377084032224487,1.4303,0.75683,1.093565,2.1340071353172285,4,2
GFM1,3.8798e-4,0.00401,2.236232079173115e-5,0.0025206574269549366,1.108,1.0772,1.0926,2.132580202905601,3,3
GOLGA6L1,0.00111,0.0096696,1.3354492710277387e-4,0.0064466355080050105,1.1126,1.0025,1.05755,2.081393873573688,2,2
TIAL1,0.038002,0.0015219,6.221864756632727e-4,0.0159084542012727,0.62815,1.4682,1.048175,2.067912296609201,4,3
MPHOSPH10,0.002572,0.033976,9.040260456135744e-4,0.018672629733114014,1.2156,0.87904,1.04732,2.0666871304075984,4,3
OR4F21,0.18279,2.5189e-4,5.058251280885813e-4,0.01433904276146761,0.50615,1.5754,1.040775,2.0573325330605967,2,3
NUDT21,0.0017447,0.011717,2.4118007673426845e-4,0.009828088126921439,1.2467,0.81004,1.02837,2.0397184141970146,3,3
C10orf2,0.0097975,9.0665e-4,1.1220334666705998e-4,0.005852526562153848,1.064,0.92599,0.9949950000000001,1.9930736181769706,3,4
TUFM,0.013343,0.0053683,7.55259096366789e-4,0.01727820809933847,0.76513,1.2162,0.9906649999999999,1.9871007197273223,4,3
COA6,0.0097308,0.0034291,3.77321275477209e-4,0.011442487051680942,0.57058,1.4005,0.9855400000000001,1.9800543074375159,4,3
PRMT5,0.037067,0.020894,0.00632231202616915,0.04672896751779438,0.89775,1.0629,0.980325,1.972909801911688,3,3
RPL14,0.016805,0.024766,0.003655986870149494,0.036383199948938384,0.85812,1.0951,0.97661,1.9678360121658214,2,2
