Gene,Screen 1 P value,Screen 2 P value,Fisher P value,Screen 1 log2 Fold Enrichment,Screen 2 log2 Fold Enrichment,Combined log2 Fold Enrichment,Fold Enrichment,Screen 1 'Good' sgRNAs,Screen 2 'Good' sgRNAs
MAPK9,0.44679,0.05598,0.11726368362865996,0.25327,0.21851,0.23589,1.1776329961428096,2,2
FGL1,0.38883,0.13375,0.20575637681900963,0.092507,0.37861,0.2355585,1.177362432732279,2,2
OR4B1,0.28196,0.094925,0.12367216255307519,-0.19478,0.66514,0.23517999999999997,1.1770535849050154,2,2
SYMPK,0.13588,0.067661,0.05230549604982289,0.16,0.30637,0.23318499999999998,1.1754270463855978,2,2
HSPA4,0.063165,0.099138,0.038030989560591255,0.022286,0.44399,0.233138,1.1753887540440153,2,2
MTMR12,0.42876,0.16557,0.2587733550484974,0.25606,0.20995,0.23300500000000002,1.1752804016241962,2,2
CIDEC,0.38819,0.11378,0.18196213261124697,0.11087,0.35424,0.232555,1.1749138697572483,2,2
NFIC,0.2454,0.10009,0.11560271642974843,-0.01193,0.47607,0.23207,1.1745189578464281,2,2
PKD2L1,0.45557,0.11314,0.20438602410636297,0.047332,0.41599,0.231661,1.174186032208205,2,2
KIAA1522,0.28445,0.092152,0.12166631041701251,0.21557,0.24771,0.23164,1.1741689407741063,2,2
BLOC1S6,0.36088,0.10645,0.1636234920882686,0.11419,0.34854,0.23136500000000002,1.1739451473340607,2,2
PLK4,0.15317,0.2011,0.13800006539921927,0.3855,0.075782,0.230641,1.1733561641928862,3,2
SFRP2,0.49848,0.10168,0.2018353505361948,0.22211,0.23829,0.23020000000000002,1.1729975499499057,2,2
GNG4,0.29324,0.10362,0.13654614931412581,-0.045963,0.50348,0.22875850000000003,1.171826109372407,2,2
CLCNKA,0.19758,0.20779,0.17213762808531982,0.34625,0.11039,0.22832,1.1714699927629526,3,2
GABARAPL2,0.16922,0.062347,0.058571325947479484,0.12907,0.32744,0.22825499999999999,1.1714172138789578,2,2
LAMA1,0.42686,0.19119,0.2861120380367053,0.066877,0.38913,0.2280035,1.1712130225958788,2,2
SVOP,0.46026,0.1804,0.28965682937475523,0.047132,0.40792,0.227526,1.170825441255199,2,2
MTHFSD,0.25453,0.17784,0.1853720905289419,0.20043,0.25262,0.226525,1.170013357108256,3,2
HOXD9,0.045228,0.17847,0.04697305994740211,0.11477,0.33781,0.22629,1.1698227896363769,2,2
XXYLT1,0.10346,0.0989,0.05711831966866018,0.38795,0.064613,0.22628150000000002,1.1698158973520494,2,2
ELP5,0.18401,0.19798,0.15710036503893773,0.3135,0.1382,0.22585,1.1694660659146991,3,2
OR4M1,0.41433,0.036752,0.07894910906620582,-0.15398,0.60559,0.22580499999999998,1.1694295889388044,2,2
SCN1A,0.5548,0.092268,0.20333833634951406,0.14405,0.30669,0.22537000000000001,1.1690770368243002,2,2
PHC2,0.13198,0.15338,0.09918997177135538,0.45006,-0.0025769,0.22374155,1.1677581791324338,3,2
ZNF407,0.078845,0.16715,0.07023236033910968,0.53636,-0.089514,0.22342299999999998,1.1675003642149089,3,2
FBXO11,0.23135,0.20934,0.19506085223754333,0.37028,0.076286,0.223283,1.1673870747698296,2,2
BTD,0.31148,0.15934,0.19868049379704852,0.099618,0.3449,0.22225899999999998,1.166558777595185,2,2
TACC3,0.33751,0.16208,0.21366279038697533,0.29108,0.15272,0.2219,1.1662685274125613,2,2
GDAP2,0.20969,0.20775,0.18007001839413472,0.07598,0.36751,0.221745,1.1661432328034307,2,2
TAPBPL,0.56089,0.21052,0.3703422053401392,0.073111,0.36929,0.2212005,1.1657031916557659,2,2
NBPF8,0.50985,0.14466,0.26603450553568514,0.20587,0.236,0.220935,1.1654886863638207,2,2
FRMD3,0.29922,0.12854,0.16377359649158324,0.065424,0.3736,0.21951199999999998,1.164339675174443,2,2
PAFAH1B1,0.38392,0.036639,0.07404524698720588,0.12961,0.3074,0.218505,1.1635272505688918,4,3
NKTR,0.25728,0.15485,0.1682390736410659,0.15996,0.2765,0.21823,1.1633054854063591,2,2
ZNF329,0.35089,0.14431,0.20169066335367317,0.26506,0.17136,0.21821000000000002,1.1632893586797945,2,2
HABP2,0.43126,0.1631,0.2570475609058433,0.11842,0.31449,0.216455,1.1618751086057264,2,2
MBNL1,0.047835,0.14343,0.04104170085804277,0.57117,-0.13979,0.21569,1.1612591788222755,2,2
BTBD3,0.36117,0.15592,0.2183177222096352,-0.017073,0.44798,0.2154535,1.1610688300107483,2,2
P2RX6,0.063918,0.060516,0.02535515114642079,0.18501,0.24299,0.21400000000000002,1.1598996545054345,2,2
ZFR2,0.52569,0.18174,0.319885427664584,-0.017104,0.44065,0.211773,1.1581105696337883,2,2
CD83,0.38508,0.11398,0.18109759254015853,0.055734,0.3652,0.21046700000000002,1.1570626641682644,2,2
POTEA,0.24019,0.19643,0.19125917912888016,-0.068891,0.48852,0.20981450000000001,1.156539467885389,2,2
RGS18,0.42157,0.16318,0.25292477752352216,-0.014017,0.43214,0.2090615,1.1559359813811678,2,2
MYOF,0.47657,0.11535,0.2144430100835075,-0.24261,0.6607,0.20904499999999998,1.1559227610996219,2,2
ATG9B,0.35343,0.043688,0.07983976559383749,0.32029,0.095621,0.20795550000000002,1.155050156424821,2,2
P2RY14,0.23118,0.066933,0.07997703625517064,-0.024558,0.43972,0.207581,1.1547503632373353,2,2
CLDN25,0.26284,0.1688,0.18258293183540913,0.1475,0.2675,0.20750000000000002,1.1546855316886926,2,2
PRR20A,0.47431,0.073818,0.15237654290035096,0.22879,0.18551,0.20715,1.1544054372084855,2,2
STRA6,0.37707,0.18386,0.25435818460402315,0.17646,0.23774,0.2071,1.1543654292580732,2,2
DNAH9,0.39829,0.093858,0.16024271909170862,0.075224,0.33778,0.20650200000000002,1.1538870416159528,2,2
TRIOBP,0.46105,0.035227,0.08315911654697511,-0.28954,0.69635,0.203405,1.1514126758349341,2,3
CCDC30,0.5622,0.14801,0.2901053627073207,0.053355,0.35267,0.20301249999999998,1.151099464801413,2,2
TTC37,0.14363,0.10265,0.0769166500576022,0.19507,0.21069,0.20288,1.1509937503773138,2,2
CACNA1H,0.56396,0.081563,0.1876339100939726,0.015641,0.38683,0.2012355,1.1496825024763633,2,2
DENND2D,0.45635,0.087631,0.16872415268566013,-0.079293,0.48141,0.2010585,1.1495414599728164,2,2
IQCH,0.11222,0.085919,0.05439577662060794,-0.085126,0.48303,0.19895200000000002,1.1478642225548954,2,2
CNPPD1,0.50844,0.084249,0.17778414257880978,-0.24092,0.63822,0.19865,1.1476239647698498,2,2
PLEKHH3,0.14891,0.16519,0.11573744824813863,0.20983,0.18289,0.19635999999999998,1.145803778146995,2,2
FAU,0.29591,0.14416,0.17722560287799446,0.0057666,0.38512,0.19544330000000001,1.1450759564928796,2,2
MLNR,0.44598,0.16861,0.2697792536765088,-0.0066128,0.39536,0.1943736,1.1442272436839935,2,2
ZNF492,0.3779,0.1765,0.24729184683736022,0.15554,0.23123,0.193385,1.1434434359210002,2,2
VSIG8,0.57552,0.18447,0.3442703333052787,-0.082614,0.46891,0.193148,1.1432556111702448,2,2
